code,volume
JP.2012,146350
JP.2013,85990
JP.2014,116660
JP.2015,2204
JP.2016,260638
JP.2017,26575
JP.2018,428
JP.2019,5342
JP.201A,93370
JP.2031,27
JP.2032,19
JP.2033,3747
JP.2034,7953
JP.2036,3946
JP.2037,1438
JP.2038,120800
JP.2039,716206
JP.2040,785
JP.2041,7567
JP.2042,268
JP.2043,1
JP.2044,44
JP.2045,1
JP.2046,499
JP.2047,1
JP.2048,3
JP.2050,2
JP.2053,180000
JP.2055,15900
JP.205A,45900
JP.2060,76300
JP.2065,4
JP.2066,0
JP.2067,18
JP.2068,2
JP.2069,0
JP.206A,40500
JP.2070,57
JP.2071,80
JP.2072,0
JP.2073,0
JP.2080,39102
JP.2081,90
JP.2082,15
JP.2083,2096
JP.2084,39253
JP.2085,106500
JP.2086,0
JP.2087,5
JP.2088,21650
JP.2089,2550
JP.208A,6500
JP.2090,5
JP.2091,3611
JP.2092,20096
JP.2093,1389
JP.2094,950
JP.2095,248
JP.2096,17935
JP.2097,1651
JP.2098,3378
JP.2108,27200
JP.2109,52600
JP.210A,23874
JP.2112,28400
JP.2114,47400
JP.2117,21500
JP.211A,5100
JP.2120,1009700
JP.2121,331800
JP.2122,13300
JP.2124,354300
JP.2127,2366800
JP.212A,115400
JP.2130,25400
JP.2134,3125100
JP.2136,2000
JP.2138,9300
JP.2139,9100
JP.213A,820180
JP.2146,2393400
JP.2148,51200
JP.2152,1300
JP.2153,56800
JP.2154,137900
JP.2156,3700
JP.2157,664000
JP.2158,189600
JP.215A,3127000
JP.2160,2318500
JP.2163,13200
JP.2164,26100
JP.2168,100800
JP.2169,5700
JP.2170,300100
JP.2173,26200
JP.2175,146000
JP.2179,1300
JP.2180,0
JP.2181,8152300
JP.2183,18000
JP.2185,2300
JP.2186,2200
JP.218A,223100
JP.2193,177800
JP.2195,49200
JP.2198,22200
JP.219A,481800
JP.2201,232700
JP.2204,11000
JP.2206,128300
JP.2207,56000
JP.2208,3000
JP.2209,77000
JP.220A,300
JP.2211,26800
JP.2212,541100
JP.2215,5400
JP.2216,27900
JP.2217,23100
JP.221A,83280
JP.2220,232700
JP.2221,2700
JP.2222,348200
JP.2224,1600
JP.2226,12600
JP.2229,119500
JP.2235,1801
JP.2236,3609
JP.2237,14025
JP.2238,5879
JP.2239,3443
JP.223A,11993
JP.2240,3584
JP.2241,5640
JP.2242,223820
JP.2243,336419
JP.2244,142298
JP.2245,20
JP.2247,104965
JP.2248,2695
JP.2249,3898
JP.224A,7697
JP.2250,480
JP.2251,133790
JP.2252,376
JP.2253,13249
JP.2254,99414
JP.2255,683760
JP.2256,227540
JP.2257,51960
JP.2258,356470
JP.2259,846790
JP.2264,1625600
JP.2266,64300
JP.2267,518900
JP.2268,2800
JP.2269,592700
JP.2270,159600
JP.2281,470500
JP.2282,341200
JP.2286,6600
JP.2288,318000
JP.228A,2700
JP.2291,4200
JP.2292,110400
JP.2293,1300
JP.2294,14000
JP.2296,109200
JP.2300,4300
JP.2301,100600
JP.2303,12300
JP.2304,2000
JP.2305,20600
JP.2307,187300
JP.2311,11300
JP.2315,4050300
JP.2317,615400
JP.2321,213100
JP.2323,25800
JP.2325,20200
JP.2326,104000
JP.2327,422700
JP.2329,51600
JP.2330,465100
JP.2331,661300
JP.2332,10700
JP.2334,730300
JP.2335,41300
JP.2337,494900
JP.2338,165500
JP.233A,3640
JP.2340,75500
JP.2341,44100
JP.2342,20000
JP.2345,49100
JP.2349,700
JP.234A,997
JP.2351,11500
JP.2353,1781300
JP.2354,707400
JP.2359,10900
JP.235A,13518
JP.236A,66460
JP.2370,101400
JP.2371,161400
JP.2373,12400
JP.2375,25600
JP.2376,1000
JP.2378,54200
JP.2379,131800
JP.237A,480250
JP.2384,191600
JP.2385,10952900
JP.2388,186600
JP.238A,1291680
JP.2391,3900
JP.2393,6900
JP.2395,125600
JP.2404,11600
JP.2408,4200
JP.2410,75900
JP.2411,22400
JP.2413,2358800
JP.2415,1800
JP.2418,105400
JP.241A,11700
JP.2424,7200
JP.2425,1700
JP.2428,59400
JP.2429,30400
JP.2432,716800
JP.2433,570000
JP.2435,25000
JP.2436,47900
JP.2437,34600
JP.2438,49300
JP.2440,117400
JP.2445,45400
JP.2449,7800
JP.244A,5200
JP.2454,25700
JP.2459,7900
JP.245A,1900
JP.2461,366000
JP.2462,22000
JP.2464,12500
JP.2469,13900
JP.246A,12700
JP.2471,399400
JP.2475,15700
JP.2477,10200
JP.2479,33700
JP.247A,559400
JP.2480,2100
JP.2481,4600
JP.2483,17600
JP.2484,808700
JP.2485,31500
JP.2488,24100
JP.2489,134500
JP.248A,700
JP.2491,94900
JP.2492,3097300
JP.2493,6800
JP.2497,8500
JP.2498,9800
JP.2499,4800
JP.2501,782300
JP.2502,4346700
JP.2503,1957600
JP.250A,35700
JP.2510,37110
JP.2511,1669380
JP.2512,138520
JP.2513,4472
JP.2514,213
JP.2515,11178
JP.2516,262660
JP.2517,7410
JP.2518,173
JP.2519,19600
JP.2520,6607
JP.2521,2906
JP.2522,4459
JP.2523,100
JP.2524,12061
JP.2525,10750
JP.2526,8526
JP.2527,55100
JP.2528,3397
JP.2529,15411
JP.2530,1077
JP.2531,385800
JP.2533,109400
JP.253A,22200
JP.254A,20500
JP.2552,64776
JP.2553,55590
JP.2554,27080
JP.2555,3160
JP.2556,39340
