code,volume
HK.00508,0
HK.00509,0
HK.00510,0
HK.00511,0
HK.00512,0
HK.00513,0
HK.00515,0
HK.00517,0
HK.00518,0
HK.00519,0
HK.00520,0
HK.00521,0
HK.00522,120387
HK.00524,0
HK.00525,0
HK.00526,0
HK.00527,0
HK.00528,0
HK.00529,0
HK.00532,0
HK.00533,0
HK.00535,0
HK.00536,0
HK.00537,0
HK.00538,0
HK.00540,0
HK.00542,0
HK.00543,0
HK.00544,0
HK.00546,2
HK.00547,0
HK.00548,0
HK.00550,0
HK.00551,0
HK.00552,0
HK.00553,0
HK.00554,0
HK.00556,0
HK.00557,0
HK.00558,0
HK.00559,0
HK.00560,0
HK.00563,0
HK.00564,0
HK.00565,0
HK.00567,0
HK.00568,0
HK.00570,0
HK.00571,0
HK.00572,0
HK.00573,0
HK.00574,0
HK.00575,0
HK.00576,0
HK.00579,0
HK.00580,0
HK.00581,0
HK.00582,0
HK.00583,0
HK.00585,0
HK.00586,0
HK.00587,0
HK.00588,0
HK.00590,0
HK.00591,0
HK.00595,0
HK.00596,0
HK.00598,0
HK.00599,0
HK.00600,0
HK.00601,0
HK.00602,0
HK.00603,0
HK.00604,0
HK.00605,0
HK.00606,0
HK.00607,0
HK.00608,0
HK.00609,0
HK.00610,0
HK.00611,0
HK.00612,0
HK.00613,0
HK.00616,0
HK.00617,0
HK.00618,0
HK.00619,0
HK.00620,0
HK.00621,0
HK.00622,0
HK.00623,0
HK.00625,0
HK.00626,0
HK.00627,0
HK.00628,0
HK.00629,0
HK.00630,0
HK.00631,0
HK.00632,0
HK.00635,0
HK.00636,0
HK.00637,0
HK.00638,0
HK.00639,0
HK.00640,0
HK.00641,0
HK.00643,0
HK.00645,0
HK.00646,0
HK.00648,0
HK.00650,0
HK.00653,0
HK.00655,0
HK.00656,0
HK.00657,0
HK.00658,0
HK.00659,400
HK.00660,0
HK.00661,0
HK.00662,0
HK.00664,0
HK.00666,0
HK.00667,0
HK.00668,0
HK.00669,334
HK.00670,0
HK.00672,0
HK.00673,0
HK.00674,0
HK.00675,0
HK.00676,0
HK.00677,0
HK.00679,0
HK.00681,0
HK.00682,0
HK.00683,0
HK.00684,0
HK.00685,0
HK.00686,0
HK.00687,0
HK.00688,0
HK.00689,0
HK.00690,0
HK.00691,0
HK.00693,0
HK.00694,0
HK.00695,0
HK.00696,0
HK.00697,0
HK.00698,0
HK.00699,0
HK.00700,78600
HK.00701,0
HK.00702,0
HK.00703,0
HK.00704,0
HK.00707,0
HK.00708,0
HK.00709,0
HK.00710,0
HK.00711,0
HK.00712,0
HK.00713,0
HK.00716,0
HK.00717,0
HK.00718,0
HK.00719,0
HK.00720,0
HK.00721,0
HK.00722,0
HK.00723,0
HK.00725,0
HK.00726,0
HK.00727,0
HK.00728,0
HK.00729,0
HK.00730,0
HK.00731,0
HK.00732,0
HK.00733,0
HK.00736,0
HK.00737,0
HK.00738,0
HK.00743,0
HK.00745,0
HK.00746,0
HK.00747,0
HK.00750,0
HK.00751,0
HK.00752,0
HK.00753,0
HK.00754,0
HK.00755,0
HK.00756,0
HK.00757,0
HK.00759,0
HK.00760,0
HK.00762,0
HK.00763,0
HK.00764,0
HK.00765,0
HK.00767,0
HK.00768,0
HK.00769,0
HK.00770,0
HK.00771,0
HK.00772,0
HK.00775,0
HK.00776,0
HK.00777,0
HK.00780,170400
HK.00784,0
HK.00788,0
HK.00789,0
HK.00794,0
HK.00797,0
HK.00798,0
HK.00799,0
HK.00800,112600
HK.00804,0
HK.00805,0
HK.00806,0
HK.00807,0
HK.00809,0
HK.00810,0
HK.00811,0
HK.00813,0
HK.00814,0
HK.00815,0
HK.00816,0
HK.00817,0
HK.00818,0
HK.00819,0
HK.00821,0
HK.00822,0
HK.00825,0
HK.00826,0
HK.00827,0
HK.00828,0
HK.00829,0
HK.00830,0
HK.00831,0
HK.00832,0
HK.00833,0
HK.00834,0
HK.00836,0
HK.00837,0
HK.00838,0
HK.00839,0
HK.00840,0
HK.00841,0
HK.00842,0
HK.00844,0
HK.00845,0
HK.00846,0
HK.00848,0
HK.00851,0
HK.00852,0
HK.00853,0
HK.00854,0
HK.00855,0
HK.00856,0
HK.00857,302950
HK.00858,0
HK.00859,0
HK.00860,0
HK.00861,0
HK.00862,0
HK.00863,0
HK.00864,0
HK.00865,0
HK.00866,0
HK.00867,283000
HK.00868,0
HK.00869,0
HK.00871,0
HK.00873,0
HK.00874,0
HK.00875,0
HK.00876,0
HK.00878,0
HK.00880,0
HK.00881,0
HK.00882,0
HK.00883,0
HK.00884,0
HK.00887,0
HK.00888,0
HK.00889,0
HK.00893,0
HK.00894,0
HK.00895,0
HK.00896,0
HK.00897,0
HK.00898,0
HK.00899,0
HK.00900,0
HK.00901,0
HK.00902,0
HK.00905,0
HK.00907,0
HK.00909,0
HK.00910,0
HK.00911,0
HK.00912,0
HK.00913,0
HK.00914,194
HK.00915,0
HK.00916,0
HK.00917,0
HK.00918,0
HK.00919,0
HK.00921,0
HK.00922,0
HK.00923,0
HK.00924,0
HK.00926,0
HK.00927,0
HK.00928,0
HK.00929,0
HK.00931,0
HK.00932,0
HK.00933,0
HK.00934,0
HK.00936,0
HK.00938,0
HK.00939,420
HK.00941,0
HK.00943,0
HK.00945,0
HK.00947,0
HK.00948,0
HK.00950,0
HK.00951,0
HK.00952,0
HK.00953,0
HK.00954,0
HK.00956,1451000
HK.00959,0
HK.00960,0
HK.00966,0
HK.00968,0
HK.00969,0
HK.00970,0
HK.00974,0
HK.00975,0
HK.00976,0
HK.00978,0
HK.00979,0
HK.00980,0
HK.00981,0
HK.00983,0
HK.00984,0
HK.00986,0
HK.00987,0
HK.00989,0
HK.00990,0
HK.00991,0
HK.00992,5513
HK.00993,0
HK.00994,0
HK.00995,0
HK.00997,0
HK.00998,300000
HK.00999,0
HK.01000,0
HK.01001,0
HK.01002,0
HK.01003,0
HK.01004,0
HK.01005,0
HK.01007,0
HK.01008,0
HK.01009,0
HK.01010,0
HK.01011,0
HK.01013,0
HK.01018,0
HK.01020,0
HK.01021,0
HK.01022,0
HK.01023,0
HK.01024,0
HK.01025,0
HK.01026,0
HK.01027,0
HK.01028,0
HK.01029,0
HK.01030,0
HK.01033,0
HK.01036,0
