code,volume
00001,1506174
00002,511275
00003,9360108
00004,132000
00005,3225635
00006,753007
00008,1354227
00010,89000
00012,3799778
00013,2602000
00014,1724500
00016,1203901
00017,1795110
00018,0
00019,241485
00020,223521800
00021,7305000
00022,67200
00023,1256183
00025,0
00026,2000
00027,5213285
00028,20000
00029,60000
00030,10000
00031,3615600
00032,0
00033,0
00034,32000
00035,2987000
00036,0
00037,0
00038,2301347
00039,0
00040,0
00041,742856
00042,0
00045,67000
00046,0
00048,0
00050,5000
00051,37000
00052,22000
00053,2000
00055,20000
00057,16000
00058,20000
00059,0
00060,0
00061,80062
00062,14400
00063,0
00064,510400
00065,2000
00066,1455655
00068,5082829
00069,1212000
00070,0
00071,37000
00072,80000
00073,0
00075,37000
00076,40000
00077,50000
00078,18000
00079,0
00080,270000
00081,1478000
00082,2303000
00083,3264980
00084,0
00085,96000
00086,74000
00087,183977
00088,6000
00089,0
00090,0
00092,36000
00093,6000
00094,0
00095,56000
00096,0
00097,403050
00098,36000
00099,0
00100,5342897
00101,4366915
00103,5000
00104,0
00105,0
00106,0
00107,200000
00108,292000
00110,132000
00111,20000
00113,10500
00114,0
00115,0
00116,240000
00117,2008000
00118,68000
00119,4877000
00120,2400
00122,9200
00123,3344836
00124,49896
00125,0
00126,0
00127,88500
00128,136000
00129,0
00130,0
00131,0
00132,0
00133,64000
00135,7155658
00136,19789200
00137,0
00138,0
00139,3840000
00142,1922000
00144,1600406
00145,8000
00146,0
00147,50815000
00148,14806120
00149,5000
00150,75600
00151,3187623
00152,801978
00154,2000
00156,0
00157,0
00158,0
00159,1332000
00160,0
00162,0
00163,60000
00164,120000
00165,1732000
00166,0
00167,0
00168,520500
00169,0
00171,0
00173,106000
00174,0
00175,22677452
00176,0
00177,2302000
00178,8581000
00179,891371
00180,0
00181,0
00182,4782000
00183,0
00184,0
00185,0
00186,210000
00187,256000
00188,0
00189,7651000
00191,64000
00193,0
00194,0
00196,72000
00197,1435387
00199,1043800
00200,790046
00201,0
00202,11100000
00204,0
00205,0
00206,5000
00209,1386000
00210,0
00211,0
00212,0
00213,150000
00214,0
00215,138000
00216,0
